Utterances;Ground_Truth_Risk;Predicted_Risk
1;0.85;0.69
2;1.1;1.3
3;0.8;0.83
4;0.1;0.1
5;0.1;0.1
6;0.1;0.42
7;0.7;0.73
8;0.7;0.73
9;0.1;0.1
10;0.1;0.1
11;1.1;2.12
12;0.1;0.26
13;1.0;1.86
14;0.1;0.1
15;0.6;0.1
16;1.0;1.86
17;0.1;0.1
18;0.7;0.32
19;0.5;0.59
20;0.1;0.26
21;0.1;0.1
22;0.65;0.54
23;0.8;0.66
24;0.5;1.24
25;1.1;1.3
26;1.1;2.12
27;0.65;0.58
28;0.1;0.1
29;0.9;0.85
30;0.15;0.1
31;1.2;1.16
32;0.1;0.1
33;1.05;1.16
34;0.9;0.85
35;0.1;0.1
36;1.0;1.86
37;0.5;0.1
38;0.8;0.66
39;0.65;0.58
40;0.8;0.83
41;1.05;0.88
42;1.05;1.16
43;0.6;0.67
44;1.2;1.16
45;1.0;1.86
46;0.2;0.2
47;1.2;1.16
48;0.85;0.69
49;0.15;0.1
50;0.1;0.1
51;0.82;0.67
52;0.8;0.78
53;1.05;1.16
54;0.85;0.49
55;1.1;1.3
56;0.8;0.83
57;1.05;1.16
58;0.1;0.42
59;0.1;0.1
60;0.5;1.24
61;0.15;0.1
62;0.1;0.1
63;0.1;0.1
64;0.1;0.1
65;0.85;0.69
66;1.1;1.3
67;0.7;0.67
68;0.1;0.1
69;0.65;0.58
70;0.9;0.85
71;0.1;0.1
72;0.7;0.67
73;0.8;0.83
74;0.1;0.1
75;0.7;0.73
76;0.6;0.67
77;0.8;0.83
78;1.05;0.88
79;1.05;0.88
80;0.7;0.32
81;0.7;0.68
82;0.8;0.66
83;0.65;0.58
84;0.9;0.85
85;0.8;0.83
86;0.5;0.59
87;0.82;0.67
88;0.7;0.32
89;0.1;0.42
90;0.1;0.1
91;1.05;0.88
92;0.1;0.26
93;0.65;0.54
94;1.05;0.88
95;0.7;0.67
96;1.05;0.88
97;1.05;1.16
98;1.1;2.12
99;0.7;0.67
100;0.7;0.68
101;0.1;0.1
102;1.05;1.16
103;0.65;0.54
104;0.9;0.85
105;1.1;1.3
106;1.1;1.3
107;0.1;0.1
108;0.7;0.43
109;0.8;0.56
110;0.8;0.56
111;1.2;1.16
112;0.6;0.1
113;0.1;0.42
114;1.1;1.3
115;0.85;0.69
116;0.7;0.43
117;0.8;0.56
118;0.65;0.58
119;0.1;0.26
120;0.8;0.66
121;1.0;1.86
122;0.2;0.2
123;0.8;0.66
124;0.8;0.66
125;0.5;0.1
126;0.6;0.1
127;0.7;0.73
128;0.8;0.66
129;0.1;0.1
130;0.7;0.32
131;0.7;0.67
132;0.65;0.54
133;0.7;0.43
134;1.1;2.12
135;0.2;0.2
136;0.8;0.83
137;0.65;0.54
138;0.9;0.85
139;0.7;0.32
140;0.1;0.1
141;1.1;1.3
142;0.8;0.56
143;0.8;0.56
144;0.1;0.1
145;0.5;0.59
146;1.0;1.86
147;1.1;2.12
148;0.6;0.67
149;1.0;1.86
150;1.0;1.86
151;0.8;0.66
152;0.1;0.42
153;0.8;0.56
154;0.7;0.32
155;0.7;0.67
156;0.1;0.1
157;1.0;1.86
158;0.1;0.1
159;0.8;0.56
160;0.2;0.2
161;0.8;0.56
162;1.2;1.16
163;0.7;0.73
164;0.6;0.67
165;0.1;0.1
166;0.7;0.68
167;0.82;0.67
168;0.2;0.2
169;0.1;0.26
170;0.7;0.73
171;0.5;1.24
172;0.7;0.32
173;0.9;0.85
174;0.2;0.2
175;0.5;1.24
176;0.85;0.69
177;1.1;2.12
178;0.5;0.1
179;0.1;0.1
180;0.1;0.1
181;1.1;2.12
182;0.1;0.1
183;0.5;0.1
184;0.8;0.56
185;0.65;0.58
186;0.7;0.32
187;0.15;0.1
188;0.7;0.67
189;0.7;0.73
190;0.8;0.66
191;0.1;0.1
192;0.1;0.42
193;0.85;0.49
194;0.6;0.1
195;1.05;0.88
196;0.65;0.58
197;0.5;1.24
198;0.1;0.1
199;1.0;1.86
200;0.7;0.67
201;0.5;0.59
202;0.7;0.68
203;0.8;0.56
204;0.9;0.85
205;1.05;0.88
206;0.1;0.1
207;0.5;1.24
208;1.1;2.12
209;0.5;0.1
210;0.1;0.1
211;0.7;0.32
212;0.1;0.1
213;0.7;0.73
214;0.8;0.83
215;0.5;0.1
216;1.05;0.88
217;0.1;0.1
218;1.05;0.88
219;0.1;0.1
220;0.85;0.69
221;0.15;0.1
222;0.15;0.1
223;1.0;1.86
224;1.05;0.88
225;0.5;1.24
226;0.7;0.32
227;1.2;1.16
228;0.7;0.32
229;1.05;1.16
230;0.1;0.1
231;0.5;0.1
232;0.8;0.83
233;0.65;0.58
234;1.1;2.12
235;0.6;0.67
236;0.7;0.32
237;0.5;0.59
238;0.1;0.26
239;0.1;0.26
240;0.6;0.1
241;0.8;0.83
242;0.65;0.54
243;0.65;0.54
244;0.82;0.67
245;0.1;0.1
246;0.6;0.1
247;0.7;0.32
248;0.8;0.66
249;0.7;0.32
250;0.7;0.68
251;0.1;0.1
252;1.2;1.16
253;1.05;0.88
254;0.6;0.67
255;0.8;0.66
256;0.6;0.1
257;0.85;0.69
258;0.2;0.2
259;1.05;0.88
260;0.1;0.1
261;0.85;0.69
262;0.85;0.49
263;1.05;0.88
264;0.7;0.32
265;0.1;0.1
266;0.8;0.56
267;0.1;0.42
268;0.7;0.32
269;1.1;2.12
270;0.15;0.1
271;0.1;0.1
272;0.85;0.49
273;1.1;2.12
274;0.1;0.1
275;0.8;0.56
276;0.1;0.26
277;0.1;0.42
278;1.0;1.86
279;0.65;0.54
280;1.0;1.86
281;0.1;0.1
282;0.6;0.67
283;0.7;0.32
284;0.9;0.85
285;0.85;0.69
286;0.1;0.1
287;1.05;0.88
288;0.1;0.1
289;0.1;0.1
290;0.7;0.43
291;0.65;0.58
292;0.5;0.1
293;0.7;0.67
294;0.8;0.83
295;0.5;1.24
296;1.05;1.16
297;0.5;0.59
298;0.1;0.42
299;1.1;1.3
300;0.8;0.66
301;0.82;0.67
302;1.0;1.86
303;0.8;0.56
304;0.1;0.42
305;0.1;0.26
306;0.1;0.1
307;0.1;0.26
308;0.1;0.26
309;0.2;0.2
310;1.1;1.3
311;0.7;0.32
312;0.8;0.83
313;0.7;0.68
314;1.2;1.16
315;0.2;0.2
316;0.8;0.56
317;0.6;0.1
318;1.05;0.88
319;0.5;1.24
320;0.7;0.43
321;0.6;0.1
322;0.1;0.1
323;0.6;0.67
324;0.1;0.1
325;0.8;0.66
326;0.1;0.1
327;0.1;0.1
328;0.1;0.42
329;0.9;0.85
330;0.5;0.59
331;0.7;0.67
332;0.7;0.67
333;0.82;0.67
334;0.8;0.56
335;0.1;0.1
336;0.7;0.67
337;0.5;1.24
338;0.7;0.68
339;0.1;0.26
340;0.85;0.69
341;1.1;2.12
342;0.5;0.59
343;0.1;0.1
344;0.5;1.24
345;0.1;0.26
346;0.85;0.69
347;1.05;1.16
348;0.8;0.66
349;0.7;0.68
350;0.6;0.1
351;0.7;0.68
352;0.5;0.59
353;0.5;1.24
354;0.1;0.1
355;0.1;0.1
356;0.1;0.1
357;0.7;0.32
358;0.6;0.1
359;0.1;0.42
360;0.8;0.78
361;0.7;0.68
362;0.82;0.67
363;0.85;0.49
364;0.8;0.78
365;0.1;0.1
366;0.8;0.56
367;0.7;0.67
368;0.7;0.68
369;1.2;1.16
370;0.5;1.24
371;0.1;0.1
372;0.5;1.24
373;1.0;1.86
374;0.8;0.66
375;0.8;0.56
376;0.65;0.54
377;0.5;0.1
378;0.1;0.1
379;0.5;0.59
380;1.05;0.88
381;0.7;0.32
382;0.7;0.32
383;0.5;0.59
384;1.1;2.12
385;0.7;0.67
386;0.7;0.32
387;0.8;0.78
388;0.85;0.69
389;0.7;0.43
390;0.5;0.59
391;0.85;0.49
392;1.0;1.86
393;1.05;0.88
394;0.1;0.42
395;0.6;0.67
396;0.1;0.1
397;0.8;0.83
398;0.85;0.69
399;0.1;0.1
400;0.8;0.78
401;0.1;0.1
402;0.82;0.67
403;0.65;0.58
404;1.2;1.16
405;0.7;0.73
406;0.85;0.69
407;0.1;0.1
408;0.1;0.1
409;0.8;0.78
410;0.9;0.85
411;0.1;0.1
412;1.05;0.88
413;1.05;0.88
414;0.15;0.1
415;0.8;0.56
416;0.1;0.1
417;0.1;0.42
418;0.8;0.56
419;0.5;0.59
420;0.7;0.43
421;0.1;0.42
422;0.1;0.1
423;1.05;0.88
424;0.6;0.1
425;0.6;0.67
426;0.5;0.1
427;0.1;0.1
428;0.1;0.26
429;0.7;0.43
430;0.1;0.1
431;0.5;0.59
432;0.1;0.1
433;0.5;0.59
434;0.9;0.85
435;0.65;0.58
436;0.8;0.66
437;1.05;1.16
438;0.85;0.49
439;0.1;0.1
440;0.5;1.24
441;0.7;0.68
442;1.05;0.88
443;0.5;0.59
444;0.1;0.1
445;0.1;0.1
446;0.1;0.42
447;0.5;1.24
448;1.05;1.16
449;0.85;0.49
450;0.7;0.68
451;1.05;0.88
452;0.1;0.42
453;0.85;0.69
454;0.7;0.73
455;0.15;0.1
456;0.5;0.59
457;0.9;0.85
458;0.8;0.78
459;0.6;0.67
460;0.65;0.58
461;0.7;0.43
462;0.9;0.85
463;0.65;0.54
464;1.0;1.86
465;0.7;0.68
466;0.85;0.69
467;0.1;0.1
468;0.8;0.83
469;0.7;0.67
470;0.1;0.26
471;0.6;0.67
472;0.65;0.58
473;0.1;0.1
474;1.2;1.16
475;0.2;0.2
476;0.85;0.49
477;0.1;0.1
478;0.65;0.54
479;0.8;0.78
480;0.1;0.1
481;0.1;0.1
482;1.1;2.12
483;0.7;0.43
484;0.8;0.66
485;0.5;0.1
486;0.8;0.66
487;0.8;0.83
488;0.7;0.67
489;1.1;2.12
490;0.7;0.43
491;0.8;0.66
492;0.1;0.1
493;0.7;0.32
494;0.2;0.2
495;0.8;0.56
496;0.1;0.1
497;0.5;1.24
498;0.1;0.1
499;0.7;0.73
500;1.05;0.88
501;0.1;0.1
502;0.5;0.1
503;0.15;0.1
504;1.05;1.16
505;1.1;1.3
506;0.85;0.49
507;0.7;0.67
508;1.1;2.12
509;0.5;1.24
510;0.1;0.42
511;0.7;0.73
512;0.5;0.59
513;0.8;0.78
514;0.8;0.56
515;0.5;1.24
516;0.8;0.83
517;0.5;0.59
518;0.1;0.1
519;0.8;0.66
520;0.8;0.83
521;0.8;0.66
522;0.1;0.1
523;0.8;0.83
524;0.8;0.66
525;0.8;0.66
526;0.65;0.54
527;0.6;0.67
528;0.9;0.85
529;0.7;0.32
530;0.5;0.1
531;0.7;0.43
532;0.8;0.66
533;0.85;0.69
534;0.7;0.43
535;1.05;0.88
536;0.2;0.2
537;0.15;0.1
538;0.7;0.68
539;0.1;0.1
540;1.0;1.86
541;0.8;0.78
542;0.6;0.1
543;0.7;0.68
544;0.7;0.32
545;0.7;0.67
546;0.15;0.1
547;0.8;0.56
548;0.7;0.73
549;0.1;0.1
550;0.1;0.1
551;0.1;0.1
552;0.1;0.26
553;0.65;0.54
554;0.7;0.43
555;0.7;0.32
556;0.82;0.67
557;1.05;0.88
558;0.7;0.67
559;0.1;0.1
560;0.2;0.2
561;0.8;0.66
562;0.6;0.67
563;0.7;0.68
564;0.85;0.49
565;0.7;0.68
566;1.1;2.12
567;0.1;0.42
568;0.8;0.78
569;0.8;0.78
570;0.1;0.1
571;0.6;0.67
572;0.1;0.1
573;1.05;1.16
574;0.9;0.85
575;0.7;0.67
576;0.7;0.43
577;1.2;1.16
578;0.7;0.67
579;0.8;0.56
580;0.82;0.67
581;0.8;0.66
582;0.85;0.49
583;0.8;0.83
584;0.1;0.1
585;0.82;0.67
586;1.1;2.12
587;0.5;0.59
588;0.7;0.67
589;0.7;0.68
590;0.6;0.1
591;0.6;0.1
592;0.6;0.67
593;0.1;0.42
594;1.1;1.3
595;0.1;0.1
596;1.05;1.16
597;1.0;1.86
598;0.7;0.73
599;0.82;0.67
600;0.82;0.67
601;0.15;0.1
602;0.6;0.1
603;1.1;1.3
604;0.65;0.54
605;0.82;0.67
606;0.7;0.32
607;0.1;0.1
608;1.1;1.3
609;0.6;0.1
610;0.6;0.67
611;0.7;0.68
612;0.85;0.69
613;1.2;1.16
614;0.8;0.78
615;0.6;0.67
616;0.8;0.78
617;0.6;0.67
618;0.5;0.1
619;0.1;0.1
620;0.7;0.68
621;0.82;0.67
622;0.2;0.2
623;1.0;1.86
624;0.7;0.43
625;0.7;0.73
626;0.1;0.42
627;0.5;1.24
628;0.85;0.49
629;0.7;0.73
630;0.5;1.24
631;0.8;0.83
632;1.2;1.16
633;1.2;1.16
634;0.1;0.1
635;1.1;2.12
636;0.8;0.56
637;1.1;2.12
638;0.65;0.54
639;0.85;0.69
640;0.8;0.56
641;0.1;0.1
642;0.1;0.1
643;0.7;0.68
644;0.15;0.1
645;0.8;0.66
646;0.1;0.26
647;0.1;0.1
648;0.2;0.2
649;0.7;0.67
650;0.7;0.68
651;0.5;0.59
652;0.1;0.1
653;0.82;0.67
654;1.05;1.16
655;0.1;0.1
656;0.65;0.54
657;0.9;0.85
658;0.1;0.1
659;0.1;0.26
660;0.6;0.1
661;0.6;0.67
662;0.1;0.1
663;0.7;0.67
664;0.8;0.83
665;1.05;0.88
666;1.1;1.3
667;0.1;0.26
668;1.05;1.16
669;0.1;0.1
670;0.8;0.66
671;0.1;0.42
672;1.05;1.16
673;0.1;0.1
674;1.0;1.86
675;0.1;0.1
676;1.05;1.16
677;0.65;0.58
678;1.1;2.12
679;0.1;0.42
680;0.15;0.1
681;1.05;0.88
682;1.1;1.3
683;0.1;0.1
684;0.8;0.66
685;0.8;0.78
686;0.6;0.67
687;0.1;0.26
688;0.1;0.1
689;0.1;0.1
690;0.6;0.67
691;0.7;0.43
692;0.5;0.1
693;0.1;0.1
694;1.2;1.16
695;0.8;0.78
696;1.1;2.12
697;0.15;0.1
698;0.1;0.26
699;0.82;0.67
700;0.8;0.83
701;0.1;0.1
702;0.2;0.2
703;0.1;0.1
704;0.82;0.67
705;0.2;0.2
706;0.7;0.32
707;0.1;0.26
708;0.1;0.1
709;0.2;0.2
710;0.2;0.2
711;1.2;1.16
712;0.6;0.1
713;0.7;0.73
714;0.6;0.1
715;0.85;0.49
716;0.1;0.1
717;0.9;0.85
718;1.1;2.12
719;0.85;0.49
720;0.1;0.1
721;0.85;0.49
722;0.2;0.2
723;1.0;1.86
724;0.5;0.1
725;0.8;0.66
726;0.7;0.73
727;1.2;1.16
728;1.1;1.3
729;0.2;0.2
730;0.6;0.1
731;1.0;1.86
732;1.1;1.3
733;0.7;0.73
734;0.8;0.83
735;0.1;0.1
736;0.7;0.68
737;0.2;0.2
738;0.1;0.1
739;1.2;1.16
740;0.1;0.1
741;0.5;0.1
742;0.7;0.32
743;0.5;0.1
744;0.5;0.59
745;0.7;0.67
746;0.1;0.1
747;1.05;1.16
748;0.7;0.73
749;0.7;0.43
750;1.1;2.12
751;0.7;0.32
752;0.2;0.2
753;0.8;0.78
754;0.7;0.68
755;0.1;0.42
756;0.8;0.78
757;1.0;1.86
758;0.7;0.43
759;1.0;1.86
760;0.5;0.1
761;0.7;0.67
762;0.9;0.85
763;0.6;0.67
764;0.9;0.85
765;0.7;0.73
766;1.1;1.3
767;0.1;0.1
768;1.05;0.88
769;0.6;0.1
770;0.85;0.49
771;0.7;0.68
772;1.05;1.16
773;0.7;0.73
774;0.9;0.85
775;0.82;0.67
776;0.5;0.59
777;1.05;0.88
778;1.05;0.88
779;0.7;0.67
780;0.1;0.26
781;0.85;0.69
782;0.8;0.83
783;0.7;0.73
784;1.05;1.16
785;0.6;0.1
786;1.05;0.88
787;0.1;0.1
788;0.7;0.68
789;0.1;0.1
790;1.05;1.16
791;0.1;0.1
792;1.2;1.16
793;0.1;0.1
794;0.1;0.1
795;0.15;0.1
796;0.8;0.83
797;1.05;1.16
798;0.8;0.56
799;0.7;0.32
800;0.1;0.42
801;1.1;1.3
802;0.7;0.32
803;0.1;0.1
804;0.6;0.67
805;0.7;0.32
806;1.0;1.86
807;1.05;1.16
808;0.2;0.2
809;0.2;0.2
810;1.1;2.12
811;0.65;0.58
812;0.8;0.83
813;1.1;1.3
814;0.85;0.69
815;0.7;0.32
816;0.6;0.1
817;0.65;0.54
818;0.85;0.69
819;0.7;0.32
820;0.65;0.54
821;0.7;0.32
822;1.2;1.16
823;0.1;0.26
824;1.0;1.86
825;0.8;0.78
826;0.7;0.68
827;0.8;0.78
828;0.7;0.32
829;0.7;0.43
830;0.85;0.49
831;0.1;0.1
832;1.1;1.3
833;0.85;0.69
834;0.8;0.83
835;0.7;0.68
836;0.85;0.69
837;1.2;1.16
838;0.5;0.59
839;1.0;1.86
840;0.65;0.54
841;0.85;0.49
842;0.1;0.1
843;0.65;0.54
844;0.7;0.68
845;0.5;0.1
846;0.7;0.73
847;0.8;0.78
848;0.2;0.2
849;0.8;0.83
850;0.1;0.42
851;0.1;0.1
852;0.5;0.59
853;0.1;0.1
854;0.7;0.43
855;0.15;0.1
856;0.1;0.1
857;0.7;0.32
858;0.5;0.59
859;1.2;1.16
860;0.7;0.68
861;0.8;0.83
862;0.8;0.66
863;0.85;0.49
864;0.9;0.85
865;0.85;0.69
866;1.05;1.16
867;0.1;0.26
868;0.7;0.73
869;0.1;0.42
870;0.7;0.67
871;0.1;0.1
872;0.1;0.1
873;0.1;0.42
874;0.7;0.67
875;1.1;1.3
876;0.1;0.1
877;0.9;0.85
878;0.9;0.85
879;0.8;0.78
880;0.1;0.1
881;1.05;0.88
882;0.1;0.1
883;0.1;0.1
884;0.7;0.73
885;1.0;1.86
886;0.65;0.58
887;0.15;0.1
888;0.65;0.54
889;0.82;0.67
890;0.65;0.54
891;0.6;0.67
892;0.1;0.1
893;0.1;0.1
894;0.65;0.58
895;0.2;0.2
896;0.1;0.1
897;0.7;0.32
898;0.85;0.69
899;0.1;0.26
900;0.1;0.1
901;0.8;0.66
902;0.1;0.1
903;0.65;0.58
904;0.6;0.67
905;0.5;0.1
906;0.5;0.1
907;0.1;0.26
908;0.8;0.66
909;0.65;0.58
910;0.7;0.67
911;0.8;0.56
912;0.7;0.43
913;0.6;0.1
914;0.1;0.42
915;0.1;0.1
916;0.8;0.56
917;0.6;0.1
918;0.85;0.69
919;0.85;0.69
920;0.6;0.1
921;0.5;1.24
922;0.1;0.1
923;0.15;0.1
924;0.7;0.67
925;1.05;1.16
926;1.0;1.86
927;0.8;0.66
928;0.6;0.1
929;1.2;1.16
930;0.7;0.67
931;0.8;0.83
932;0.85;0.69
933;1.1;2.12
934;0.8;0.56
935;0.8;0.78
936;0.8;0.78
937;0.1;0.1
938;0.82;0.67
939;0.7;0.32
940;0.1;0.42
941;0.8;0.66
942;0.8;0.56
943;0.65;0.58
944;0.85;0.69
945;0.8;0.83
946;0.7;0.67
947;1.1;2.12
948;0.1;0.1
949;0.1;0.42
950;0.8;0.83
951;1.1;2.12
952;0.7;0.32
953;0.8;0.66
954;0.8;0.83
955;0.82;0.67
956;1.05;0.88
957;0.8;0.56
958;0.1;0.1
959;1.05;1.16
960;0.8;0.56
961;0.5;1.24
962;1.2;1.16
963;0.1;0.1
964;1.05;1.16
965;0.85;0.49
966;0.15;0.1
967;0.65;0.58
968;0.8;0.78
969;0.65;0.58
970;0.7;0.32
971;0.1;0.42
972;0.1;0.1
973;0.1;0.1
974;0.1;0.1
975;0.85;0.69
976;0.15;0.1
977;1.0;1.86
978;0.7;0.67
979;0.7;0.68
980;0.5;0.1
981;0.7;0.73
982;1.0;1.86
983;1.1;2.12
984;0.1;0.42
985;0.5;0.59
986;0.5;0.1
987;0.7;0.68
988;0.6;0.1
989;0.9;0.85
990;0.82;0.67
991;1.05;0.88
992;0.1;0.26
993;0.1;0.1
994;0.6;0.67
995;0.8;0.78
996;0.6;0.1
997;0.1;0.42
998;0.8;0.56
999;0.6;0.67
1000;0.6;0.67
